Contsable has purchased Gold Points for $55.
Rs. has purchased Gold Points for $40.
Yahhe has purchased Gold Points for $9.
Tim has purchased Gold Points for $20.
Hometown P K has purchased Gold Points for $10.
Cash has purchased Gold Points for $30.
Cash has purchased Gold Points for $5.
Cash has purchased Gold Points for $18.
Copyright has purchased Gold Points for $100.
Imagine has purchased Gold Points for $5.
Boomkin has purchased Gold Points for $25.
Boomkin has purchased Gold Points for $24.
Cash has purchased Gold Points for $2.
Sam has purchased Gold Points for $10.
Coolest676 has purchased Gold Points for $10.
Blukrans has purchased Gold Points for $9.
Ryanboates has purchased Gold Points for $20.
Coolest676 has purchased Gold Points for $20.
Elite has purchased Gold Points for $40.
Wafflers has purchased Gold Points for $3.
Sam has purchased Gold Points for $30.
Ryanboates has purchased Gold Points for $30.
Ryanboates has purchased Gold Points for $35.
Fenn has purchased Gold Points for $40.
Phat has purchased Gold Points for $50.
Endlesskillz has purchased Gold Points for $50.
Phat has purchased Gold Points for $1.
Destiny has purchased Gold Points for $50.
Phat has purchased Gold Points for $27.
Endlesskillz has purchased Gold Points for $13.
Coolest676 has purchased Gold Points for $20.
Coolest676 has purchased Gold Points for $9.
Coolest676 has purchased Gold Points for $9.
Phat has purchased Gold Points for $7.
Endlesskillz has purchased Gold Points for $9.
Endlesskillz has purchased Gold Points for $13.
Endlesskillz has purchased Gold Points for $13.
Goodbye has purchased Gold Points for $7.
Wafflers has purchased Gold Points for $23.
Solesla has purchased Gold Points for $20.
Omg has purchased Gold Points for $15.
Beef has purchased Gold Points for $3.
Corey has purchased Gold Points for $5.
Corey has purchased Gold Points for $5.
Corey has purchased Gold Points for $10.
Coolest676 has purchased Gold Points for $9.
Sam has purchased Gold Points for $35.
Lowmeka has purchased Gold Points for $10.
[Aug 14, 2014 12:29:01 PM] Lowmeka has purchased Gold Points for $5.
[Nov 14, 2014 5:39:24 PM] Elite Yogi has purchased Gold Points for $48.
[Nov 14, 2014 8:21:52 PM] Just Harry has purchased Gold Points for $10.
[Nov 15, 2014 1:19:14 AM] Yogi Bear14 has purchased Gold Points for $-1.
[Nov 15, 2014 1:19:15 AM] Yogi Bear14 has purchased Gold Points for $1.
[Nov 19, 2014 10:47:03 PM] Hades has purchased Gold Points for $65.
[Nov 20, 2014 8:54:40 PM] Nazo has purchased Gold Points for $1.
[Nov 20, 2014 9:03:36 PM] Nazo has purchased Gold Points for $9.
[Nov 21, 2014 11:54:02 AM] Emmence has purchased Gold Points for $10.
[Nov 21, 2014 12:08:20 PM] Emmence has purchased Gold Points for $5.
[Nov 21, 2014 2:42:12 PM] Emmence has purchased Gold Points for $5.
[Nov 21, 2014 2:49:49 PM] Emmence has purchased Gold Points for $5.
[Nov 21, 2014 3:00:40 PM] Emmence has purchased Gold Points for $15.
[Nov 21, 2014 8:13:52 PM] Marksman Pk5 has purchased Gold Points for $10.
[Nov 21, 2014 8:19:35 PM] Emmence has purchased Gold Points for $10.
[Nov 21, 2014 8:23:20 PM] Emmence has purchased Gold Points for $10.
[Nov 21, 2014 8:27:02 PM] Emmence has purchased Gold Points for $10.
[Nov 21, 2014 8:29:43 PM] Emmence has purchased Gold Points for $15.
[Nov 21, 2014 8:37:07 PM] Emmence has purchased Gold Points for $10.
[Nov 22, 2014 2:05:15 PM] Dabberz has purchased Gold Points for $10.
[Nov 22, 2014 6:34:04 PM] Refractt has purchased Gold Points for $1.
[Nov 22, 2014 9:41:38 PM] Figsta has purchased Gold Points for $20.
[Nov 22, 2014 9:43:47 PM] Figsta has purchased Gold Points for $20.
[Nov 24, 2014 2:26:14 AM] Make Money has purchased Gold Points for $1.
[Nov 25, 2014 7:02:00 PM] Make Money has purchased Gold Points for $60.
[Nov 25, 2014 7:03:18 PM] Offset has purchased Gold Points for $15.
[Nov 25, 2014 8:12:58 PM] Refractt has purchased Gold Points for $10.
[Nov 27, 2014 2:04:44 PM] Jasper has purchased Gold Points for $10.
[Nov 27, 2014 4:28:37 PM] Freqdat has purchased Gold Points for $40.
[Nov 28, 2014 2:13:30 PM] Emmence has purchased Gold Points for $10.
[Nov 29, 2014 4:51:46 AM] Tortas has purchased Gold Points for $15.
[Nov 29, 2014 5:05:21 AM] Turm You On has purchased Gold Points for $10.
[Nov 29, 2014 5:08:43 AM] Turm You On has purchased Gold Points for $5.
[Nov 29, 2014 10:56:26 AM] Zombie Wurst has purchased Gold Points for $10.
[Nov 30, 2014 7:28:32 AM] Turmori has purchased Gold Points for $5.
[Nov 30, 2014 7:31:51 AM] Turmori has purchased Gold Points for $5.
[Dec 1, 2014 4:47:51 AM] J4g3x has purchased Gold Points for $15.
[Dec 2, 2014 9:10:13 PM] Thrax has purchased Gold Points for $13.
[Dec 3, 2014 1:07:54 PM] Turmori has purchased Gold Points for $15.
[Dec 3, 2014 1:10:00 PM] Turmori has purchased Gold Points for $5.
[Dec 5, 2014 12:14:55 PM] Emme has purchased Gold Points for $5.
[Dec 7, 2014 6:34:03 AM] Its Nike has purchased Gold Points for $50.
[Dec 7, 2014 5:03:37 PM] Nexual has purchased Gold Points for $20.
[Dec 7, 2014 5:11:02 PM] Slayur has purchased Gold Points for $10.
[Dec 7, 2014 5:15:41 PM] Emme has purchased Gold Points for $10.
[Dec 8, 2014 4:52:41 AM] Freqdat has purchased Gold Points for $10.
[Dec 8, 2014 8:05:20 AM] Slowburn has purchased Gold Points for $20.
[Dec 8, 2014 7:17:42 PM] Slowburn has purchased Gold Points for $40.
[Dec 9, 2014 11:26:31 AM] 55gp has purchased Gold Points for $20.
[Dec 9, 2014 11:27:07 AM] 56gp has purchased Gold Points for $10.
[Dec 9, 2014 11:27:08 AM] 56gp has purchased Gold Points for $3.
[Dec 9, 2014 11:27:09 AM] 56gp has purchased Gold Points for $17.
[Dec 9, 2014 11:27:09 AM] 56gp has purchased Gold Points for $20.
[Dec 9, 2014 11:27:10 AM] 56gp has purchased Gold Points for $3.
[Dec 9, 2014 11:27:10 AM] 56gp has purchased Gold Points for $7.
[Dec 9, 2014 11:27:11 AM] 56gp has purchased Gold Points for $13.
[Dec 9, 2014 7:40:19 PM] Its Nike has purchased Gold Points for $38.
[Dec 13, 2014 12:31:44 PM] Tank2000261 has purchased Gold Points for $25.
[Dec 17, 2014 7:49:06 PM] Refractt has purchased Gold Points for $10.
[Dec 17, 2014 7:58:05 PM] Refractt has purchased Gold Points for $10.
[Dec 17, 2014 7:59:31 PM] Refractt has purchased Gold Points for $10.
[Dec 17, 2014 8:00:55 PM] Refractt has purchased Gold Points for $10.
[Dec 22, 2014 1:34:13 PM] Smokythebear has purchased Gold Points for $10.
[Dec 22, 2014 1:44:47 PM] Refractt has purchased Gold Points for $10.
[Dec 23, 2014 4:15:11 PM] Turmori has purchased Gold Points for $15.
[Dec 23, 2014 4:18:58 PM] Turmori has purchased Gold Points for $15.
[Dec 30, 2014 6:58:45 PM] Mod T has purchased Gold Points for $30.
[Dec 30, 2014 6:58:45 PM] Mod T has purchased Gold Points for $1.
